,text,favourite_count,retweet_count,created_at
27,"RT @jucilnacional: Hoy, el gobierno nos dirá que es #8Marzo, el #DíaDeLaMujer y que defienden la #Igualdad cuando discriminan a la #Mujer p…",0,71,2022-03-08 16:24:34
28,"RT @IECA_Andalucia: 👩‍💻¿Cuál es el papel de la #mujer en la #economía y sociedad #digital de #Andalucía? 
Con motivo de este #8M💜te enseñam…",0,4,2022-03-08 16:24:29
29,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:24:21
30,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:24:03
31,"RT @JAGambero: @SaraHispania Mi abuela, madre, mujer, hija, hermana, tía, sobrina, suegra cuñada no son FEMINISTAS ni MUJERES porque no son…",0,2,2022-03-08 16:24:02
32,RT @APROMAR_acui: Las mujeres tenemos un papel fundamental en nuestro sector 👭🏾 Ya somos un 24% del total del sector de la acuicultura en E…,0,1,2022-03-08 16:23:54
33,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:23:43
34,"RT @SaraHispania: En memoria de los 100.000 fallecidos por COVID19.
#Mujer #Mujeres
#DiaDeLaMujer #8M2022 #8Marzo2022 #8M #DiaNacionalDeLas…",0,8,2022-03-08 16:23:42
35,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:23:34
36,"RT @PaulinoRobert: La #alfabetización en #salud es la capacidad de las personas para obtener, comprender y utilizar información para tomar…",0,1,2022-03-08 16:23:16
37,"RT @JAGambero: @SaraHispania Mi abuela, madre, mujer, hija, hermana, tía, sobrina, suegra cuñada no son FEMINISTAS ni MUJERES porque no son…",0,2,2022-03-08 16:23:14
38,"RT @elefigueroa: Dale clic al enlace para que puedas ver ""Radiografía"" y leer a #LasPlumasMásPoderosasDeMéxico en @Opinion_51 

https://t.c…",0,2,2022-03-08 16:23:10
39,"🧡DIA INTERNACIONAL DE LA MUJER #8M

👉Cada 8 de marzo se conmemora está importante fecha para reconocer el valor de la mujer dentro de la sociedad y su lucha constante por la equidad.

#8M2022 #DíaDeLaMujer #Mujer #desarrollopersonal #efemérides #SerCentroPsicológico #8Marzo2022 https://t.co/AitOaGxYxK",0,0,2022-03-08 16:23:07
40,"RT @SaraHispania: En memoria de los 100.000 fallecidos por COVID19.
#Mujer #Mujeres
#DiaDeLaMujer #8M2022 #8Marzo2022 #8M #DiaNacionalDeLas…",0,8,2022-03-08 16:22:56
41,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:22:47
42,"¡DIA INTERNACIONAL DE LA MUJER!

.
#diadelamujer #mujeresemprendedoras #mujer #clinica #salud #hospital #8m #8marzo #diainternacionaldelamujer https://t.co/RSyS3SECtZ",0,0,2022-03-08 16:22:31
43,"FELIZ DÍA INTERNACIONAL DE LA MUJER

#8m #mujer #womanpower #canal #vtv #tv #chile #arcatel #television #quillota #lacalera #losandes #sanfelipe #aconcagua #regionvalparaiso #regionaconcagua https://t.co/KqVE9RfsVn",0,1,2022-03-08 16:22:22
44,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:22:11
45,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:21:47
46,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:21:39
47,"RT @TCAandalucia: En el Día internacional de la Mujer queremos exhortar a la sociedad a luchar contra la cultura imperante del ""culto al cu…",0,13,2022-03-08 16:21:39
48,"Un día especial para recordar que el respeto, el valorar, la dignificación y el apoyo, van de la mano día a día con cada una de ustedes.

#Mujer
#Autoestímate 
#8M   
#FamiliaFundamil 
#DiaInternacionalDeLaMujer   
#LaMujerEs https://t.co/6gNujfRYam",0,0,2022-03-08 16:21:07
49,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:21:06
50,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:20:55
51,"RT @SantillanaVzla: Construyamos con educación, inteligencia y empoderamiento un futuro más igualitario para todas🙌🏻

¡Feliz día de la muje…",0,2,2022-03-08 16:20:36
52,"En este día que nos recuerda que tenemos que avanzar en el logro de espacios de igualdad para las mujeres y avanzar en esa misma senda.
#mujer #8m #igualdad https://t.co/d1266pbPLM",1,0,2022-03-08 16:19:57
53,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:19:43
54,"RT @SaraHispania: En memoria de los 100.000 fallecidos por COVID19.
#Mujer #Mujeres
#DiaDeLaMujer #8M2022 #8Marzo2022 #8M #DiaNacionalDeLas…",0,8,2022-03-08 16:19:40
55,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:19:26
56,"RT @Techmakers_Stem: ‘‘Soy investigadora, soy confidente.
Soy científica, soy mamá.
Soy hermana, soy amiga.
Soy mujer y hoy soy lo que quie…",0,1,2022-03-08 16:19:07
57,"RT @SevillaROS: 👉🏼Hoy 8 de Marzo, desde la ROSS queremos conmemorar el papel fundamental de la figura de la #mujer, apostando por la iguald…",0,1,2022-03-08 16:19:01
58,"RT @CVoltajesexual: La historia de muchas mujeres... 
Sigamos luchando por derechos, justicia, libertad... Cada quién desde su trinchera, p…",0,1,2022-03-08 16:18:40
59,"RT @LauFdzOficial: Llegó la hora de la igualdad completa entre mujeres y hombres. Ya llegó la hora de la #Mujer.
#DíaDeLaMujer #8M https://…",0,8,2022-03-08 16:18:38
60,"RT @CSD_ALICANTE: 8M en el #CSDA 
💪🏻💜
.
@GVAinnova @DIseacv @iseacv
#8M #mujer #DiaInternacionalDeLaMujer2022 #csdalicante #enseñanzasartis…",0,1,2022-03-08 16:18:36
61,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:18:35
62,"RT @LauFdzOficial: Llegó la hora de la igualdad completa entre mujeres y hombres. Ya llegó la hora de la #Mujer.
#DíaDeLaMujer #8M https://…",0,8,2022-03-08 16:18:27
63,"#EdiciónImpresa
- En 2023 una #mujer podría gobernar #Edoméx
- Respalda @UAEM_MX a universitarias que se unan a protestas del #8M y #9M
- Más #seguridad, talleres de defensa personal y alumbrado público entre las demandas de universitarias a rectoría
📲 https://t.co/jUVYErfk4b https://t.co/16DuzCJu3m",0,0,2022-03-08 16:18:14
64,"RT @animal_lex: 💜 ¡¡Feliz este y todos los días, mujeres soñadoras y luchadoras!! 😊 #8M #DíaDeLaMujer #Mujer #MujeresEmprendedoras #Mujeres…",0,2,2022-03-08 16:18:05
65,"RT @seregalandudas: El día de la #mujer💜 existe…

Para que se hagan cambios que reconozcan y garanticen nuestros derechos. 
#8M #DiaInterna…",0,142,2022-03-08 16:17:58
66,"RT @SaraHispania: En memoria de los 100.000 fallecidos por COVID19.
#Mujer #Mujeres
#DiaDeLaMujer #8M2022 #8Marzo2022 #8M #DiaNacionalDeLas…",0,8,2022-03-08 16:17:56
67,"En el #DíaDeLaMujer, queremos brindarle tributo a la fortaleza, dedicación y poder que todas las mujeres llevan dentro. 👩🏻‍🌾👩🏼‍🏫👷🏻‍♀️👩🏽‍⚕️👩🏾‍⚖️  

#8M #diadelamujer #Mujer #8demarzo #diainternacionaldelamujer #motranosa https://t.co/tUQTFaGJZI",1,0,2022-03-08 16:17:50
68,"@SaraHispania Mi abuela, madre, mujer, hija, hermana, tía, sobrina, suegra cuñada no son FEMINISTAS ni MUJERES porque no son d Podemos. Ese ""título"" en el mundo lo da los COMUNISTAS d Podemos. Saludos.
#Mujer #Mujeres
#DiaDeLaMujer #8M2022 #8Marzo2022 #8M
#StopComunismo https://t.co/i0YcrKOlmn",2,2,2022-03-08 16:17:40
